DHSID,DHSYEAR,DHSCLUST,LATNUM,LONGNUM,URBAN_RURA
BJ201200000610,2012,610,6.4948006,2.5929277,U
BJ201200000611,2012,611,6.4855623,2.5850604,U
BJ201200000612,2012,612,6.3697186,2.5237079,U
BJ201200000613,2012,613,6.3966556,2.5301974,U
BJ201200000618,2012,618,6.4013643,2.49862,R
BJ201200000622,2012,622,6.456767,2.6098077,R
BJ201200000629,2012,629,6.900267,2.6899192,R
BJ201200000630,2012,630,7.1710205,2.5458698,R
BJ201200000640,2012,640,6.6351185,2.6737423,R
BJ201200000644,2012,644,7.364721,2.6128278,U
BJ201200000645,2012,645,7.3596506,2.6025236,U
BJ201200000646,2012,646,7.4761896,2.5759401,R
BJ201200000654,2012,654,6.9899516,2.6835072,U
BJ201200000658,2012,658,7.0904727,2.7134175,R
BJ201200000662,2012,662,6.7367444,2.6526783,U
BJ201200000665,2012,665,6.79789,2.63705,R
BJ201200000666,2012,666,6.849362,2.6386623,R
BJ201200000667,2012,667,6.8677053,2.5880551,R
BJ201200000668,2012,668,6.6804533,2.6806023,R
BJ201200000674,2012,674,7.1824555,2.0104966,U
BJ201200000675,2012,675,7.18411,1.9870809,U
BJ201200000676,2012,676,7.208212,1.98834,U
BJ201200000677,2012,677,7.2295504,1.94688,R
BJ201200000678,2012,678,7.188535,2.0320175,R
BJ201200000680,2012,680,7.1732426,2.016147,R
BJ201200000683,2012,683,7.100746,2.0041676,R
BJ201200000686,2012,686,7.1275477,1.942289,R
BJ201200000688,2012,688,7.065367,2.0161018,R
BJ201200000700,2012,700,7.2562814,2.0720718,R
BJ201200000710,2012,710,7.397288,1.8945844,U
BJ201200000716,2012,716,7.4936457,1.7872323,R
BJ201200000718,2012,718,7.500859,2.077607,R
BJ201200000728,2012,728,7.2673855,2.365796,R
BJ201200000730,2012,730,7.169548,2.3905365,R
BJ201200000733,2012,733,7.2079997,2.216305,U
BJ201200000738,2012,738,7.202176,2.1036835,R
BJ201200000739,2012,739,7.2295256,2.1122842,R
BJ201200000740,2012,740,7.2398653,2.1944714,R
BJ201200000742,2012,742,6.936388,2.0034916,R
BJ201200000743,2012,743,7.123959,2.1108243,R
BJ201200000744,2012,744,7.1178904,2.079471,R
BJ201200000745,2012,745,7.0976706,2.3052802,R
BJ201200000746,2012,746,6.98497,2.385422,R
BJ201200000749,2012,749,7.061922,2.176342,R
BO200800001001,2008,1001,-19.010077,-65.25513,U
BO200800001002,2008,1002,-19.01467,-65.25361,U
BO200800001004,2008,1004,-19.02218,-65.237,U
BO200800001010,2008,1010,-19.036633,-65.26206,U
BO200800001017,2008,1017,-19.036615,-65.29269,U
BO200800001018,2008,1018,-19.02864,-65.28943,U
BO200800001021,2008,1021,-19.034542,-65.26042,U
BO200800001024,2008,1024,-19.055193,-65.27827,U
BO200800001026,2008,1026,-19.049866,-65.262344,U
BO200800001030,2008,1030,-19.07399,-65.25628,U
BO200800001031,2008,1031,-19.073193,-65.22498,U
BO200800001032,2008,1032,-19.05372,-65.23873,U
BO200800001036,2008,1036,-19.050192,-65.248474,U
BO200800001047,2008,1047,-18.78802,-65.19202,R
BO200800001048,2008,1048,-19.251846,-65.17971,R
BO200800001052,2008,1052,-20.309261,-64.514565,R
BO200800001053,2008,1053,-19.824162,-64.55832,R
BO200800001061,2008,1061,-19.261272,-64.18461,R
BO200800001064,2008,1064,-19.400928,-64.52292,R
BO200800001072,2008,1072,-19.040733,-64.980125,R
BO200800001085,2008,1085,-20.551476,-64.72857,R
BO200800001086,2008,1086,-20.632708,-64.83673,R
BO200800001088,2008,1088,-19.14632,-64.19426,R
BO200800001089,2008,1089,-19.019806,-64.41338,R
BO200800001092,2008,1092,-20.763075,-64.74047,R
BO200800001095,2008,1095,-20.760113,-63.086567,R
BO200800002004,2008,2004,-16.52106,-68.11031,U
BO200800002005,2008,2005,-16.50452,-68.14002,U
BO200800002008,2008,2007,-16.517523,-68.13493,U
BO200800002008,2008,2008,-16.48249,-68.128654,U
BO200800002012,2008,2012,-16.487928,-68.10516,U
BO200800002015,2008,2015,-16.540215,-68.11563,U
BO200800002026,2008,2026,-16.522354,-68.1362,U
BO200800002029,2008,2029,-16.499214,-68.16682,U
BO200800002031,2008,2031,-16.47765,-68.12504,U
BO200800002033,2008,2033,-16.564041,-68.102715,U
BO200800002034,2008,2034,-16.548677,-68.06497,U
BO200800002040,2008,2040,-16.49712,-68.14355,U
BO200800002047,2008,2047,-16.451319,-68.14579,U
BO200800002048,2008,2048,-16.504145,-68.16989,U
BO200800002050,2008,2050,-16.377045,-68.056244,U
BO200800002054,2008,2054,-16.500032,-68.121635,U
BO200800002058,2008,2058,-16.485205,-68.1583,U
BO200800002059,2008,2059,-16.49122,-68.17617,U
BO200800002061,2008,2061,-16.399914,-68.118095,U
BO200800002062,2008,2062,-16.539396,-68.11803,U
BO200800002063,2008,2063,-16.538853,-68.09062,U
BO200800002068,2008,2068,-16.685965,-67.98853,R
BO200800002089,2008,2089,-16.50275,-68.168175,U
BO200800002099,2008,2099,-16.453339,-68.179726,U
BO200800002102,2008,2102,-16.470655,-68.210396,U
BO200800002103,2008,2103,-16.487034,-68.22288,U
BO200800002106,2008,2106,-16.498917,-68.206604,U
BO200800002107,2008,2107,-16.494095,-68.21428,U
BO200800002110,2008,2110,-16.505135,-68.2402,U
BO200800002112,2008,2112,-16.539598,-68.19165,U
BO200800002115,2008,2115,-16.525583,-68.218124,U
BO200800002118,2008,2118,-16.533287,-68.233986,U
BO200800002121,2008,2121,-16.485666,-68.07015,U
BO200800002122,2008,2122,-16.505781,-68.16925,U
BO200800002128,2008,2128,-16.058172,-68.78231,R
BO200800002130,2008,2130,-15.982248,-68.699646,R
BO200800002133,2008,2133,-17.016329,-68.56194,R
BO200800002135,2008,2135,-17.490728,-68.6263,R
BO200800002136,2008,2136,-17.431906,-68.28826,R
BO200800002138,2008,2138,-15.567972,-69.23483,R
BO200800002142,2008,2142,-15.743792,-68.874084,R
BO200800002148,2008,2148,-15.592037,-68.06528,R
BO200800002151,2008,2151,-14.783018,-68.28934,R
BO200800002157,2008,2157,-16.447973,-68.78936,R
BO200800002161,2008,2161,-17.150288,-67.69431,R
BO200800002164,2008,2164,-16.904736,-67.14317,R
BO200800002168,2008,2168,-17.416624,-67.00211,R
BO200800002169,2008,2169,-16.44156,-67.544395,R
BO200800002179,2008,2179,-16.536873,-68.51535,R
BO200800002185,2008,2185,-17.0484,-67.918625,R
BO200800002189,2008,2189,-16.323654,-67.6179,U
BO200800002194,2008,2194,-17.668089,-67.8675,R
BO200800002197,2008,2197,-15.844782,-67.551254,U
BO200800002200,2008,2200,-15.656503,-67.16883,R
BO200800003008,2008,3008,-17.417706,-66.17116,U
BO200800003013,2008,3013,-17.347378,-66.172806,U
BO200800003017,2008,3017,-17.489777,-66.19349,U
BO200800003019,2008,3019,-17.480871,-66.174324,U
BO200800003021,2008,3021,-17.400038,-66.16678,U
BO200800003028,2008,3028,-17.394972,-66.156,U
BO200800003035,2008,3035,-17.434198,-66.12454,U
BO200800003036,2008,3036,-17.382528,-66.13518,U
BO200800003038,2008,3038,-17.417124,-66.15846,U
BO200800003039,2008,3039,-17.44986,-66.1661,U
BO200800003047,2008,3047,-17.406324,-66.161064,U
BO200800003050,2008,3050,-17.422934,-66.1491,U
BO200800003053,2008,3053,-17.449987,-66.17744,U
BO200800003054,2008,3054,-18.092297,-65.18457,R
BO200800003057,2008,3057,-18.096945,-64.9358,R
BO200800003058,2008,3058,-16.963657,-66.941986,R
BO200800003064,2008,3064,-17.932825,-65.92002,R
BO200800003068,2008,3068,-17.57149,-65.49317,R
BO200800003074,2008,3074,-17.596521,-66.11704,R
BO200800003076,2008,3076,-17.60571,-65.94072,R
BO200800003082,2008,3082,-17.387527,-66.27753,U
BO200800003086,2008,3086,-17.103863,-66.34592,R
BO200800003088,2008,3088,-17.566746,-66.380775,R
BO200800003090,2008,3090,-17.531717,-66.332306,R
BO200800003100,2008,3100,-17.39275,-66.036804,U
BO200800003103,2008,3103,-17.237597,-66.049095,U
BO200800003106,2008,3106,-17.447882,-65.97511,R
BO200800003107,2008,3107,-17.418154,-65.90654,R
BO200800003114,2008,3114,-17.707273,-66.610954,R
BO200800003118,2008,3118,-17.803057,-64.99223,R
BO200800003120,2008,3120,-16.98663,-65.16054,U
BO200800003124,2008,3124,-17.069878,-64.74804,R
BO200800003127,2008,3127,-17.1665,-64.66274,R
BO200800003130,2008,3130,-17.912443,-65.806465,R
BO200800003136,2008,3136,-17.93325,-66.556885,R
BO200800004003,2008,4003,-17.973745,-67.109795,U
BO200800004004,2008,4004,-17.959887,-67.127655,U
BO200800004006,2008,4006,-17.982903,-67.12008,U
BO200800004007,2008,4007,-17.963537,-67.12133,U
BO200800004008,2008,4008,-17.968164,-67.126076,U
BO200800004015,2008,4015,-17.945187,-67.08447,U
BO200800004017,2008,4017,-17.96813,-67.11156,U
BO200800004024,2008,4024,-17.978704,-67.094765,U
BO200800004027,2008,4027,-17.977442,-67.129265,U
BO200800004029,2008,4029,-17.96455,-67.13431,U
BO200800004032,2008,4032,-17.965794,-67.11425,U
BO200800004033,2008,4033,-17.961826,-67.11451,U
BO200800004035,2008,4035,-17.935928,-67.11449,U
BO200800004040,2008,4040,-17.962233,-67.083,U
BO200800004041,2008,4041,-17.96345,-67.11448,U
BO200800004046,2008,4046,-17.969952,-67.11671,U
BO200800004051,2008,4051,-17.808895,-67.5802,R
BO200800004054,2008,4054,-17.847836,-67.06678,R
BO200800004055,2008,4055,-17.803051,-66.93272,R
BO200800004057,2008,4057,-18.902279,-66.75722,U
BO200800004071,2008,4071,-18.385443,-66.980385,R
BO200800004079,2008,4079,-18.10537,-67.035645,R
BO200800004080,2008,4080,-19.59839,-67.67015,R
BO200800004086,2008,4086,-18.266151,-67.54181,R
BO200800004088,2008,4088,-17.92164,-67.68016,U
BO200800004091,2008,4091,-19.062159,-67.23996,R
BO200800004092,2008,4092,-18.74794,-67.72003,R
BO200800004095,2008,4095,-19.07294,-66.72189,R
BO200800004097,2008,4097,-17.915726,-67.90706,R
BO200800004098,2008,4098,-17.983086,-67.666534,R
BO200800005001,2008,5001,-19.599804,-65.73762,U
BO200800005003,2008,5003,-19.589367,-65.749054,U
BO200800005005,2008,5005,-19.598099,-65.74929,U
BO200800005008,2008,5008,-19.571863,-65.76797,U
BO200800005012,2008,5012,-19.593678,-65.75066,U
BO200800005014,2008,5014,-19.57963,-65.7603,U
BO200800005015,2008,5015,-19.57858,-65.759575,U
BO200800005016,2008,5016,-19.549656,-65.76584,U
BO200800005018,2008,5018,-19.55443,-65.7761,U
BO200800005020,2008,5020,-19.594975,-65.75185,U
BO200800005026,2008,5026,-19.560944,-65.77461,U
BO200800005030,2008,5030,-19.356228,-65.71466,R
BO200800005031,2008,5031,-19.273384,-65.809814,R
BO200800005034,2008,5034,-18.481829,-66.08349,U
BO200800005035,2008,5035,-18.551153,-66.45645,R
BO200800005039,2008,5039,-18.426622,-66.58956,U
BO200800005043,2008,5043,-18.422613,-66.58369,U
BO200800005044,2008,5044,-18.438282,-66.594734,U
BO200800005046,2008,5046,-18.42711,-66.57761,U
BO200800005050,2008,5050,-19.560856,-65.39701,R
BO200800005051,2008,5051,-19.40048,-65.30515,R
BO200800005053,2008,5053,-19.630312,-65.57029,R
BO200800005055,2008,5055,-18.778667,-66.03367,R
BO200800005063,2008,5063,-18.792707,-65.73001,R
BO200800005066,2008,5066,-18.17058,-66.04883,R
BO200800005070,2008,5070,-20.15768,-65.84423,R
BO200800005071,2008,5071,-20.293228,-65.407776,R
BO200800005075,2008,5075,-21.446358,-65.71329,U
BO200800005078,2008,5078,-21.450771,-65.71917,U
BO200800005085,2008,5085,-21.937456,-66.520805,R
BO200800005086,2008,5086,-19.883953,-65.449585,R
BO200800005092,2008,5092,-20.461548,-66.832886,U
BO200800005096,2008,5096,-20.118904,-66.19292,R
BO200800005097,2008,5097,-19.885431,-66.21237,R
BO200800005098,2008,5098,-18.012283,-66.00011,R
BO200800005106,2008,5106,-21.78433,-65.558914,R
BO200800006002,2008,6002,-21.540985,-64.72333,U
BO200800006003,2008,6003,-21.527216,-64.72808,U
BO200800006008,2008,6008,-21.528198,-64.713715,U
BO200800006010,2008,6010,-21.546509,-64.73687,U
BO200800006014,2008,6014,-21.52391,-64.74178,U
BO200800006016,2008,6016,-21.531109,-64.68961,U
BO200800006017,2008,6017,-21.548397,-64.72607,U
BO200800006020,2008,6020,-21.532883,-64.726974,U
BO200800006021,2008,6021,-21.50806,-64.743484,U
BO200800006022,2008,6022,-21.522284,-64.739555,U
BO200800006023,2008,6023,-21.51997,-64.743256,U
BO200800006027,2008,6027,-21.526876,-64.73194,U
BO200800006035,2008,6035,-21.57912,-64.83317,R
BO200800006036,2008,6036,-21.508337,-64.77502,R
BO200800006046,2008,6046,-22.73527,-64.34614,U
BO200800006047,2008,6047,-22.719477,-64.3315,U
BO200800006059,2008,6059,-22.042645,-63.67953,U
BO200800006064,2008,6064,-21.934572,-63.640003,R
BO200800006070,2008,6070,-21.805065,-63.77189,R
BO200800006071,2008,6071,-21.249195,-63.46249,U
BO200800006075,2008,6075,-21.106539,-63.15875,R
BO200800006076,2008,6076,-21.668383,-64.539604,R
BO200800006080,2008,6080,-21.75717,-65.26225,R
BO200800006081,2008,6081,-21.506117,-65.11369,R
BO200800006083,2008,6083,-21.435843,-64.78439,R
BO200800006084,2008,6084,-21.267124,-64.818886,R
BO200800006091,2008,6091,-21.510008,-65.004555,R
BO200800006092,2008,6092,-21.501698,-64.19935,R
BO200800007002,2008,7002,-17.761236,-63.157097,U
BO200800007003,2008,7003,-17.779575,-63.15772,U
BO200800007004,2008,7004,-17.751415,-63.678955,U
BO200800007005,2008,7005,-17.764696,-63.188126,U
BO200800007007,2008,7007,-17.805803,-63.221073,U
BO200800007017,2008,7017,-17.811844,-63.204723,U
BO200800007019,2008,7019,-17.836899,-63.237507,U
BO200800007021,2008,7021,-17.787066,-63.111336,U
BO200800007022,2008,7022,-17.797853,-63.131393,U
BO200800007023,2008,7023,-17.806322,-63.12562,U
BO200800007033,2008,7033,-17.787958,-63.17276,U
BO200800007039,2008,7039,-17.818855,-63.12783,U
BO200800007044,2008,7044,-17.7785,-63.15006,U
BO200800007049,2008,7049,-17.801287,-63.18521,U
BO200800007055,2008,7055,-17.812708,-63.225258,U
BO200800007056,2008,7056,-17.792166,-63.128952,U
BO200800007061,2008,7061,-17.82497,-63.20949,U
BO200800007064,2008,7064,-17.797182,-63.189507,U
BO200800007065,2008,7065,-17.789495,-63.11165,U
BO200800007067,2008,7067,-17.821657,-63.11408,U
BO200800007069,2008,7069,-17.833445,-63.122105,U
BO200800007070,2008,7070,-17.836262,-63.102535,U
BO200800007073,2008,7073,-17.69017,-63.09594,R
BO200800007078,2008,7078,-17.614187,-63.45213,R
BO200800007085,2008,7085,-17.996996,-63.37287,U
BO200800007088,2008,7088,-17.971598,-63.38048,R
BO200800007089,2008,7089,-17.51029,-63.181408,U
BO200800007096,2008,7096,-16.578817,-60.703037,R
BO200800007098,2008,7098,-16.42393,-60.954365,R
BO200800007101,2008,7101,-17.454088,-63.55458,R
BO200800007102,2008,7102,-17.650019,-63.697693,R
BO200800007117,2008,7117,-16.947363,-63.832573,R
BO200800007118,2008,7118,-19.873117,-63.54961,R
BO200800007122,2008,7122,-18.757153,-63.28966,R
BO200800007123,2008,7123,-18.341282,-63.2359,R
BO200800007134,2008,7134,-18.673203,-64.23041,R
BO200800007139,2008,7139,-18.03648,-63.988914,R
BO200800007140,2008,7140,-17.33743,-63.271133,U
BO200800007147,2008,7147,-17.118681,-63.22588,U
BO200800007148,2008,7148,-16.833263,-63.89858,R
BO200800007150,2008,7150,-16.444292,-62.007835,R
BO200800007151,2008,7151,-16.27848,-62.509125,U
BO200800007152,2008,7152,-16.34214,-62.37223,R
BO200800007159,2008,7159,-16.735264,-61.800163,R
BO200800007161,2008,7161,-17.237165,-62.58475,R
BO200800007162,2008,7162,-17.977242,-58.798542,R
BO200800007163,2008,7163,-18.044172,-64.38712,R
BO200800007167,2008,7167,-19.023754,-57.72396,U
BO200800007170,2008,7170,-16.40703,-62.784832,R
BO200800008004,2008,8004,-14.86346,-64.89697,U
BO200800008008,2008,8008,-14.816029,-64.87037,U
BO200800008011,2008,8011,-14.84457,-64.90838,U
BO200800008018,2008,8018,-11.014671,-66.04892,U
BO200800008021,2008,8021,-11.005651,-66.060555,U
BO200800008026,2008,8026,-10.83236,-65.359726,U
BO200800008027,2008,8027,-10.831256,-65.36439,U
BO200800008028,2008,8028,-10.83376,-65.36346,U
BO200800008033,2008,8033,-14.867069,-66.767044,U
BO200800008038,2008,8038,-14.874458,-66.733154,R
BO200800008042,2008,8042,-13.752226,-65.43408,U
BO200800008043,2008,8043,-14.830096,-64.8841,U
BO200800008045,2008,8045,-12.950621,-65.8544,R
BO200800008051,2008,8051,-13.003878,-64.84492,R
BO200800008052,2008,8052,-13.273691,-64.61392,U
BO200800008054,2008,8054,-13.659889,-63.704464,U
BO200800009005,2008,9005,-11.013724,-68.75629,U
BO200800009006,2008,9006,-11.00926,-68.763695,U
BO200800009007,2008,9007,-11.025065,-68.760635,U
BO200800009011,2008,9011,-11.017485,-68.76274,U
BO200800009014,2008,9014,-11.015425,-68.776505,U
BO200800009016,2008,9016,-11.024982,-68.78784,U
BO200800009022,2008,9022,-11.017179,-68.77279,U
BO200800009026,2008,9026,-11.010911,-68.75536,U
BO200800009027,2008,9027,-11.023447,-68.771,U
BO200800009028,2008,9028,-11.026987,-68.77009,U
BO200800009034,2008,9034,-10.969098,-69.400375,R
BO200800009040,2008,9040,-11.5483,-67.1191,R
BO200800009041,2008,9041,-10.36075,-67.21782,R
BU201000000001,2010,1,-3.3685,29.362186,U
BU201000000004,2010,4,-3.428142,30.257027,R
BU201000000006,2010,6,-3.984277,30.13225,R
BU201000000010,2010,10,-3.211953,29.671818,R
BU201000000016,2010,16,-3.420516,29.370983,U
BU201000000024,2010,24,-3.249779,29.746649,R
BU201000000033,2010,33,-3.343654,29.383448,U
BU201000000034,2010,34,-3.966379,29.78955,R
BU201000000052,2010,52,-3.214491,30.106916,R
BU201000000054,2010,54,-3.420477,29.927732,U
BU201000000066,2010,66,-4.356537,29.816341,R
BU201000000067,2010,67,-3.012963,30.009693,R
BU201000000068,2010,68,-3.506481,29.597921,R
BU201000000069,2010,69,-2.949084,29.634148,R
BU201000000070,2010,70,-3.197862,29.63731,R
BU201000000072,2010,72,-3.67569,29.922316,R
BU201000000075,2010,75,-4.270205,29.736814,R
BU201000000076,2010,76,-3.17665,30.70732,R
BU201000000078,2010,78,-3.485963,29.827484,R
BU201000000088,2010,88,-3.615085,29.349377,R
BU201000000090,2010,90,-3.457053,29.58085,R
BU201000000091,2010,91,-2.570128,30.081661,R
BU201000000092,2010,92,-3.291576,30.614092,R
BU201000000093,2010,93,-2.496277,30.378775,R
BU201000000094,2010,94,-3.27234,29.380737,R
BU201000000096,2010,96,-3.077462,30.793348,R
BU201000000101,2010,101,-3.22278,29.60559,R
BU201000000102,2010,102,-2.740447,29.997494,R
BU201000000104,2010,104,-3.339645,29.376413,U
BU201000000106,2010,106,-2.979899,30.018248,R
BU201000000110,2010,110,-3.056383,29.872787,R
BU201000000113,2010,113,-3.51501,29.797829,R
BU201000000119,2010,119,-3.479885,29.844858,R
BU201000000121,2010,121,-2.792574,29.08601,R
BU201000000124,2010,124,-3.028967,30.066553,R
BU201000000128,2010,128,-4.069657,29.935331,R
BU201000000130,2010,130,-3.236126,29.60439,R
BU201000000131,2010,131,-3.161752,29.74718,R
BU201000000132,2010,132,-3.821289,30.02689,R
BU201000000134,2010,134,-3.162592,30.213434,R
BU201000000138,2010,138,-3.69625,29.688166,R
BU201000000146,2010,146,-3.005821,30.7093,R
BU201000000147,2010,147,-3.356863,29.622887,R
BU201000000150,2010,150,-3.614523,30.035833,R
BU201000000151,2010,151,-2.956052,30.26874,R
BU201000000154,2010,154,-3.330951,29.331852,U
BU201000000161,2010,161,-3.344724,29.379154,U
BU201000000162,2010,162,-3.395145,30.069399,R
BU201000000166,2010,166,-2.993419,29.319822,R
BU201000000169,2010,169,-3.875259,30.191257,R
BU201000000174,2010,174,-3.223102,30.183447,R
BU201000000176,2010,176,-4.053177,29.58037,R
BU201000000178,2010,178,-2.937357,29.61411,R
BU201000000194,2010,194,-3.325027,29.373112,U
BU201000000200,2010,200,-2.895937,29.122711,U
BU201000000208,2010,208,-3.509583,29.708584,U
BU201000000213,2010,213,-3.288176,29.70634,R
BU201000000216,2010,216,-2.895396,29.314693,R
BU201000000218,2010,218,-3.337123,29.400574,U
BU201000000222,2010,222,-3.819793,29.465263,R
BU201000000225,2010,225,-3.143898,29.837717,R
BU201000000226,2010,226,-3.081541,29.390703,U
BU201000000227,2010,227,-3.913556,29.50093,R
BU201000000234,2010,234,-3.264012,29.589384,R
BU201000000235,2010,235,-3.397866,29.526567,R
BU201000000239,2010,239,-3.360087,29.508762,R
BU201000000242,2010,242,-3.415781,29.374933,U
BU201000000245,2010,245,-2.682417,30.27192,R
BU201000000246,2010,246,-3.729704,30.068527,R
BU201000000247,2010,247,-3.720684,29.962498,R
BU201000000249,2010,249,-2.892984,29.846138,U
BU201000000253,2010,253,-2.808372,30.350908,R
BU201000000255,2010,255,-3.112753,30.153341,U
BU201000000265,2010,265,-2.889851,29.890385,R
BU201000000266,2010,266,-3.139326,29.332117,R
BU201000000268,2010,268,-3.197302,29.430239,R
BU201000000273,2010,273,-2.54806,30.475304,R
BU201000000275,2010,275,-3.005807,29.570362,R
BU201000000281,2010,281,-4.093941,29.738867,R
BU201000000283,2010,283,-3.475921,29.60419,R
BU201000000285,2010,285,-2.569426,29.985239,R
BU201000000288,2010,288,-3.088633,30.179714,R
BU201000000290,2010,290,-3.811024,30.225735,R
BU201000000293,2010,293,-3.431633,29.918898,U
BU201000000294,2010,294,-3.18535,30.55572,R
BU201000000295,2010,295,-3.380232,29.918678,R
BU201000000297,2010,297,-2.826598,29.084162,U
BU201000000305,2010,305,-3.61668,29.674738,R
BU201000000311,2010,311,-3.415225,29.356699,U
BU201000000317,2010,317,-3.114583,30.088934,R
BU201000000325,2010,325,-3.342951,29.394907,U
BU201000000327,2010,327,-3.340803,29.366886,U
BU201000000329,2010,329,-3.032112,29.866533,R
BU201000000337,2010,337,-3.368928,29.359568,U
BU201000000339,2010,339,-2.960548,30.217321,R
BU201000000342,2010,342,-3.36753,29.388546,U
BU201000000344,2010,344,-2.49117,30.045382,R
BU201000000347,2010,347,-2.666848,29.154964,R
BU201000000349,2010,349,-3.056597,29.288124,R
BU201000000350,2010,350,-3.250223,29.90139,R
BU201000000352,2010,352,-2.698158,30.193563,R
BU201000000353,2010,353,-3.909764,30.202429,R
BU201000000356,2010,356,-2.914653,29.83616,U
BU201000000369,2010,369,-3.202715,29.468607,R
BU201000000372,2010,372,-2.701994,29.963928,R
BU201600000005,2016,5,-3.340484,29.36582,U
BU201600000013,2016,13,-3.441241,29.929491,U
BU201600000015,2016,15,-4.023672,30.12688,U
BU201600000018,2016,18,-2.90107,29.58213,R
BU201600000019,2016,19,-3.116052,29.39392,U
BU201600000022,2016,22,-2.904092,29.824364,U
BU201600000026,2016,26,-3.329518,29.788467,R
BU201600000028,2016,28,-3.378538,30.516819,R
BU201600000031,2016,31,-3.350316,29.389624,U
BU201600000036,2016,36,-3.074658,29.383192,U
BU201600000037,2016,37,-3.00965,30.641577,R
BU201600000040,2016,40,-4.152352,29.996231,R
BU201600000045,2016,45,-2.350174,30.438496,R
BU201600000046,2016,46,-3.975286,29.448751,U
BU201600000048,2016,48,-3.281625,29.83411,R
BU201600000052,2016,52,-3.297114,29.467627,R
BU201600000054,2016,54,-3.550944,30.42459,R
BU201600000058,2016,58,-3.815709,29.358257,R
BU201600000072,2016,72,-4.432215,29.690742,R
BU201600000077,2016,77,-3.914654,29.984465,U
BU201600000078,2016,78,-3.073277,30.692013,R
BU201600000082,2016,82,-3.338287,30.649628,R
BU201600000092,2016,92,-3.093721,30.257072,R
BU201600000093,2016,93,-3.403813,29.374239,U
BU201600000096,2016,96,-3.781409,30.057993,R
BU201600000101,2016,101,-3.57375,30.21263,R
BU201600000102,2016,102,-2.851155,29.572365,R
BU201600000105,2016,105,-3.174572,30.525684,R
BU201600000108,2016,108,-3.25502,29.833574,R
BU201600000113,2016,113,-3.332579,29.30597,R
BU201600000115,2016,115,-3.11636,29.958508,R
BU201600000116,2016,116,-2.777812,29.807917,R
BU201600000121,2016,121,-3.075946,30.262676,R
BU201600000123,2016,123,-3.309004,30.28678,R
BU201600000125,2016,125,-3.281279,29.423986,R
BU201600000131,2016,131,0.0,0.0,U
BU201600000132,2016,132,-2.574681,30.09858,U
BU201600000133,2016,133,-2.441249,30.374214,R
BU201600000135,2016,135,-2.920551,29.452873,R
BU201600000137,2016,137,-3.15346,30.715017,R
BU201600000139,2016,139,-3.292288,29.477613,R
BU201600000147,2016,147,-3.43793,29.46926,R
BU201600000148,2016,148,-2.535166,30.427681,R
BU201600000149,2016,149,-3.758436,29.416302,R
BU201600000150,2016,150,-3.408506,29.784777,R
BU201600000151,2016,151,-2.936725,29.72858,R
BU201600000152,2016,152,-3.755472,29.48534,R
BU201600000153,2016,153,-3.946355,30.030771,R
BU201600000161,2016,161,-2.654362,29.107904,R
BU201600000165,2016,165,-3.904403,29.971762,R
BU201600000168,2016,168,-3.024646,29.29537,R
BU201600000170,2016,170,-3.528057,30.0227,R
BU201600000173,2016,173,-2.889515,29.19613,R
BU201600000179,2016,179,-2.942946,30.175735,R
BU201600000184,2016,184,-3.235922,30.73057,R
BU201600000190,2016,190,-3.550011,29.620897,R
BU201600000193,2016,193,-3.534267,29.452648,R
BU201600000194,2016,194,-3.394767,29.862837,R
BU201600000195,2016,195,-2.985157,30.619486,R
BU201600000198,2016,198,-2.6897,30.1757,R
BU201600000200,2016,200,-4.071759,30.137505,R
BU201600000203,2016,203,-2.901088,30.250225,R
BU201600000205,2016,205,-3.67559,29.753956,R
BU201600000209,2016,209,-3.424787,29.35477,U
BU201600000214,2016,214,-3.355602,29.430668,R
BU201600000218,2016,218,-3.03646,29.757294,R
BU201600000219,2016,219,-3.853199,29.674873,R
BU201600000224,2016,224,-3.928668,29.998661,U
BU201600000225,2016,225,-3.520815,29.356382,R
BU201600000231,2016,231,-3.606317,30.088223,R
BU201600000232,2016,232,-3.2614038,29.379097,R
BU201600000240,2016,240,-3.346125,29.400726,U
BU201600000245,2016,245,-3.43634,29.786524,R
BU201600000246,2016,246,-3.440808,29.9253,U
BU201600000247,2016,247,-3.610994,29.778254,R
BU201600000248,2016,248,-3.485694,30.193283,R
BU201600000256,2016,256,-3.463362,29.402115,R
BU201600000268,2016,268,-3.618713,29.551805,R
BU201600000270,2016,270,-3.277081,30.365404,R
BU201600000274,2016,274,-3.876024,29.863218,R
BU201600000275,2016,275,-2.994869,30.164091,R
BU201600000277,2016,277,-2.51534,30.152487,R
BU201600000280,2016,280,-3.342517,29.34492,U
BU201600000285,2016,285,-3.171099,30.1765,R
BU201600000287,2016,287,-3.222855,30.542551,U
BU201600000289,2016,289,-2.943935,29.803322,R
BU201600000290,2016,290,-3.148672,29.82774,R
BU201600000292,2016,292,-4.302183,29.87031,R
BU201600000293,2016,293,-3.004383,30.254366,R
BU201600000295,2016,295,-3.794649,30.081673,R
BU201600000298,2016,298,-3.959993,30.070454,R
BU201600000299,2016,299,-3.317242,29.717014,R
BU201600000302,2016,302,-2.980897,29.659449,R
BU201600000305,2016,305,-4.061607,29.581158,R
BU201600000308,2016,308,-3.155364,29.914158,R
BU201600000309,2016,309,-3.633056,29.800951,R
BU201600000313,2016,313,-3.309252,30.54929,R
